M100-00|Entry to Introduction
M100-01|Caller chooses English, on Introduction
M100-02|Caller chooses Spanish on Introduction
M100-45|Caller makes no entry, on Introduction
M100-61|Caller enters invalid key (default to English), on Introduction
M120-00|Entry to Factsheet Menu
M120-01|Caller wants a copy of a factsheet, on Factsheet Menu
M120-09|Caller wants to go to the main menu, on Factsheet Menu
M120-11|Caller wants to go back to the main menu, on Factsheet Menu
M120-61|Error Counter Exceeded, on Factsheet Menu
M150-00|Entry to Main Menu
M150-01|Caller wants location infomration, on Main Menu
M150-02|Caller wants the Injured Worker Menu, on Main Menu
M150-03|Caller wants the Workers' Compensation Insurer Menu, on Main Menu
M150-04|Caller wants the Medical Provider Menu, on Main Menu
M150-05|Caller wants the Employer or Insurer Menu, on Main Menu
M150-06|Caller wants to file a complaint, on Main Menu
M150-09|Caller wants to go to the Main Menu, on Main Menu
M150-11|Caller wants to go back to the Main Menu, on Main Menu
M150-61|Error Counter Exceeded, on Main Menu
M200-00|Entry to Locations
M200-01|Caller enters 5 digit zip code, on Locations
M200-61|Error Counter Exceeded, on Locations
M202-00|Entry to Location Playback
M202-01|Valid data returned from table lookup, on Location Playback
M202-09|Caller wants to go to the Main Menu, on Location Playback
M202-11|Caller wants to go back to the Main Menu, on Location Playback
M202-41|Unsuccessful table lookup, on Location Playback
M202-42|First time zip code not found on table lookup, on Location Playback
M202-43|Second time zip code not found on table lookup, on Location Playback
M202-45|Successful playback of location information and no caller input, on Location Playback
M205-00|Entry to Location Addresses
M300-00|Entry to Injured Worker Menu
M300-01|Caller wants the File Claim Process, on Injured Worker Menu
M300-02|Caller wants the Benefit Description Menu, on Injured Worker Menu
M300-03|Caller wants information on Claim Appeal, on Injured Worker Menu
M300-04|Caller wants UEF Info, on Injured Worker Menu
M300-09|Caller wants to go to the Main Menu, on Injured Worker Menu
M300-11|Caller wants to go back to the Main Menu, on Injured Worker Menu
M300-61|Error Counter Exceeded, on Injured Worker Menu
M310-00|Entry to File Claim Process
M310-01|Caller wants a workers' compensation guidebook, on File Claim Process
M310-09|Caller wants to go to the Main Menu, on File Claim Process
M310-11|Caller wants to go back to the Injured Worker Menu, on File Claim Process
M310-45|Caller finshes listening to the phrase and wishes to move on, on File Claim Process
M310-61|Error Counter Exceeded, on File Claim Process
M320-00|Entry to Benefit Description Menu
M320-01|Caller wants Medical Benefit information, on Benefit Description Menu
M320-02|Caller wants Temporary Disability Benefits information, on Benefit Description Menu
M320-03|Caller wants Permanent Disability Benefits information, on Benefit Description Menu
M320-04|Caller wants Supplemental Job Displacement information, on Benefit Description Menu
M320-05|Caller wants Death Benefit information, on Benefit Description Menu
M320-09|Caller wants to go to the Main Menu, on Benefits Description Menu
M320-11|Caller wants to go back to the Injured Worker Menu, on Benefits Description Menu
M320-61|Error Counter Exceeded, on Benefits Description Menu
M330-00|Entry to Medical Benefit
M330-09|Caller wants to go to the Main Menu, on Medical Benefit
M330-11|Caller wants to go back to the Benefit Description Menu, on Medical Benefit
M330-45|Caller finshes listening to the phrase and wishes to move on, on Medical Benfit
M340-00|Entry to Temp Disability Benefit
M340-09|Caller wants to go to the Main Menu, on Temp Disabilty Benefit
M340-11|Caller wants to go back to the Benefit Description Menu, on Temp Disability Benefit
M340-45|Caller finshes listening to the phrase and wishes to move on, on Temp Disability Benefit
M350-00|Entry to Perm Disability Benefit
M350-09|Caller wants to go to the Main Menu, on Perm Disabilty Benefit
M350-11|Caller wants to go back to the Benefit Description Menu, on Perm Disability Benefit
M350-45|Caller finshes listening to the phrase and wishes to move on, on Perm Disability Benefit
M370-00|Entry to Supplemental Job Displacement
M370-09|Caller wants to go to the Main Menu, on Supplemental Job Displacement
M370-11|Caller wants to go back to the Benefit Description Menu, on Supplemental Job Displacement
M370-45|Caller finshes listening to the phrase and wishes to move on, on Supplemental Job Displacement
M380-00|Entry to Death Benefit
M380-09|Caller wants to go to the Main Menu, on Death Benefit
M380-11|Caller wants to go back to the Benefit Description Menu, on Death Benefit
M380-45|Caller finshes listening to the phrase and wishes to move on, on Death Benefit
M400-00|Entry to Claim Appeal
M400-01|Caller wants a listing of Appeals Board offices, on Claim Appeal
M400-09|Caller wants to go to the Main Menu, on Claim Appeal
